class,class_encoded,conversation
기타 괴롭힘 대화,3,"야! 성기! 그럼 내 이름은 성기가가 아니라 성기석이야. 응 그래 성기야 그만하라고 했잖아! 얘 울겠다. 야 얘들아 성기가 그만하래 아, 그래 성기야. 불쾌했니? 미안해. 그러면 자지라고 불러야만 하나? 자지석 하하하하하. 그만 하라고. 야 자지가 그만 좀 그만 하란다. 그래 미안해. 그래 미안해 성. 푸흡. 야 아니 기석아."
직장 내 괴롭힘 대화,2,보고를 왜 자꾸 그딴식으로 했냐? 죄송합니다. 왜 나 멕이려고 그런거지 일부러? 아닙니다. 그냥 상황을 그대로 전달한거라 웃기지마 나한테 악감정있어서 일부러 그렇게 지른거잖아 그런거 아닙니다. 죄송합니다. 하. 내가 그래도 너가 위에 계속 있을텐데 어떻게 감당하려고 그랬냐 오해십니다. 정말 죄송합니다. 앞으로 좀 힘들거다 넌 각오 하고 회사 다녀라 아니면 그만두던지 오해입니다. 그런건 거 아닙니다.
협박 대화,0,왜 그러세요 아저씨 여자 새끼들은 한결같이 얌체 같아 넌 살 자격이 전혀 없어서 무슨 소리를 하시는 거에요 갑자기 자꾸 이러시면 경찰부를수밖에 없어요 저 봐라 자기 힘으로 안되니 남의 힘으로 자꾸 약아 빠지게 해서 제압하려고 하고 아니면 왜 아까부터 말도 안되는 소릴 함부로 하세요! 넌 죽어야 해 쓰레기야 그만 하세요! 아저씨 그냥 죽어라. 제발 남에 힘 빌리는 비겁함을
협박 대화,0,요즘 연락이 와서 왜 이렇게 안되? 바빠서 미안. 왜 전화했어? 왜긴 저번에 빌려준 돈 준다했는데 말이 없어서? 아 난 또 금방준다했잖아 조금만 기다려 저번부터는 계속 기다리라구 그랬잖아? 벌써 1년이 다 되가는건 알고있어? 아니 아니 준다는데 왜 자꾸 그러냐고 누가? 니가 돈 떼먹는데? 별 꼴같지 않은 몇 푼으로 이러기냐? 뭐? 너 말 다했어? 드럽고 치사해서 줄거야 거지처럼 구걸하지마라 야이 새끼야 아가리를 확 찢어버릴까 말 조심해라. 너나 조심해 돈 받고싶으면 알아서 기어
기타 괴롭힘 대화,3,야 야 여기. 우리 희수야. 너 하나. 둘.?? 내가 분명 삼만원 모아오라고 안했어? 아니. 그게. 계속 모았는데. 하루종일 겨우 이거 모았다고? 왜 장난하냐? 그게 아니라. 애들도 이제 더. 그럴 돈도 없다고하고. 내가 예진언니 생일이라고 선물사야된다고 했지? 삼만원 모아오라고. 더 이상은 무리여서. 무슨 수를 써서라도 모아왔어야지 안 그래? 미안해. 그치만 정말 더는 안 모아져서. 야 그럼 몸으로 떼울래??
기타 괴롭힘 대화,3,야 김길동. 응? 야 야 이 새끼 말 더듬는다는 것좀 봐 야. 그건 네가 기형인거냐. 니 엄마 유전인거냐? 하 하지마. 야 우 우리. 어 엄만. 건드리지마. 내가 전에 봤는데. 얘랑 얘네가 엄마랑 똑같아 니 엄마도 불쌍하다. 니같은거 낳아서. 그. 그만해. 안. 안. 그럼 선생님한테. 말. 말할거야 말해봐. 말해보라고 장애야 놀아줬더니 기어오르네
직장 내 괴롭힘 대화,2,자네는 왜 아까부터 술을 안마시나? 앗. 죄송합니다. 제가 간이 너무 안좋아서. 현재 약을 복용중이라. 뭐? 아니 젊은 두 사람이 벌써 그래서 쓰나. 그래도 회식까지 와서 그러고 있는 건 보기좋지않네. 죄송합니다. 그래도 제가 한 잔. 아니 내가 따라줄테니 딱 한 잔만 마시게나. 그래도 절대 금주하라고 병원에서. 이 사람이. 진짜 지금. 상사가 말하는데 빼겠다는 건가? 아닙니다. 그럼 맛만. 마셔 보겠습니다. 그럼 당연히 원샷 해야지. 그럼 얼른만. 마시게나. 이것도 업무의 연장선이라는 거 모르나? 알겠습니다.
갈취 대화,1,저기 사물함 앞에 키가 작은애! 나? 그래 너! 너 너 아니면 누구겠냐? 너! 오늘도 지갑 빵빵하지? 아. 아니 왜그래? 내 친구가 너 지갑에 돈 완전 많다고 그러던데. 나 요즘 지갑 잘 안들고다녀. 나 엄마 삼성페이만 써. 근데 너 지갑 털어서 나오면 가만 안둔다. 야 아 진짜라니깐! 한대 맞고 줄래 그냥 줄래? 한번 뒤져봐라! 나오는지!
갈취 대화,1,어이 꼬마야! 돈좀 있냐? 없어요. 주머니 뒤져서 나오면 10원마다 한대씩이다? 돈 없다니깐요! 야! 이리와봐! 제발 한번만 봐주세요.! 시끄럽고 이리와 보라니까! 형 이러지 마세요! 우리 아버지 경찰이에요! 넌 좀 맞아야 겠다.! 일단 제발요! 돈 없어요 돈!
직장 내 괴롭힘 대화,2,땡땡씨 노래 한곡 불러봐 네. 알겠습니다 아니 분위기 봐봐 정신 못차려? 아 죄송합니다. 다시 하겠습니다 아니야. 관둬 차라리 이번에 온 우리 회사 신입사원이 더 잘하겠다 신입사원 노래 한 곡 뽑아봐 네 알겠습니다 분위기 봐봐 저렇게 해야지 이래가지고 승진하겠어? 이러니까 내가 이번 승진 심사에서도 떨어뜨린거 아니야. 네? 앞으로 더 잘해 알겠습니다
갈취 대화,1,야. 너 돈 좀 있냐? 아니. 왜? 지랄하네. 니네 집 잘 살잖아. 오늘부터 일주일에 5만원씩 상납해라. 오만원? 일주일에 큰 돈은 힘들어. 개새끼야. 뒤져서 돈 나올때도 마다 존나게 쳐맞을래? 그. 그래도 돈이라도 없으면 어떡해! 야 니네 집 여동생이랑 어느중 몇반인지 다 알아. 돌려버리기도 전에. 아가리 닥치고 꼬박꼬박 상납해. 헉. 야 학주 온다. 병신아 알아들었으면 아가리 닫고 웃어. 친한 척해. 어
직장 내 괴롭힘 대화,2,이번주 휴무날 못외운 부분 전부 20줄씩만 써오도록 해 네? 20번요? 외울때까지 쓰라고 20번은 너무도 많아요 쓰라면 써 쉬는날은 병원 가야만 해요 그러니까. 너가 외웠어야지 아니 전 다 외웠어요 그래도 써와 하. 잘 알겠습니다
직장 내 괴롭힘 대화,2,어이 다들 똑바로 일 안해? 사장님. 제발 물 좀 주세요. 뭐? 왜 물? 이게 미쳤나. 야 지금 고작 이거 조금 만들어 놓고 물을 달라고? 배도 안 고프고. 그럼 저희는 언제까지. 이렇게 일만 해야되나요. 근데 왜 내가 다 너네 통장만들어서 저축해주고 있다고 했지? 어 어? 오늘따라. 왜 이렇게 이래? 지쳤어요. 저 그만 두겠습니다. 제 통장 주세요. 그만 둬? 뭐? 그만둔다고? 참 야. 그 동안 먹여주고 재워주고 일시켜주고 은혜도 모르는 자식이네? 그치만. 돈도 안주시고. 맨날 이렇게 일만 해야 하고. 밥도 부실하고. 잠도 제대로 제대로 못자고. 지금 제일이 바쁜 시기라고 말 했잖아 이 새끼야. 헛소리 하지말고 똑바로 일이나 해. 길거리로 쫓겨나기 싫으면. 너무하십니다. 사장님.
기타 괴롭힘 대화,3,상진아 형이 이제 이번에 부업 하나 하려고 하는데 좀 좀 더 도와줄래? 그게 어떤일인데요? 형? 이제 겨울이고 해서 붕어빵 장사 좀 해보려고 하거든 아 괜찮죠 형 같이 장사하자고요? 아니 형이 그럼 자금은 대줄테니까 네가 좀 해라 형 알바라고 생각하면 안 되나요? 그래 그렇게 생각하고 잘 운영해봐 형 근데 그럼 제 월급이나 시급 이런 건 어떻게 되요? 하루 매출의 10퍼센트씩 일급으로 줄게 10퍼센트요? 그건 좀 너무 너무한 거 아니에요? 뭐가 너무해 넌 땡전 한 푼 보태지도 않고 그냥 하는건데 차라리 그럼 그럼 저도 다른데 가서 정상적으로 알바하죠 뭐? 이게 비정상이라는거냐? 형이 하라면 안 해 노동착취도 아니고 그건 좀 아닌 것 같아요 형 못하겠어요 장난하냐? 너 학교 다닐 때 형이 얼마나 많이 챙겨줬냐 아니 형 그 얘길 왜꺼내요? 그니까 그냥 그냥 하라고 못해요 형 완전 배은망덕한데 그 새끼네 닥치고 좀 해라 저도 돈 벌어야죠 벌게 해준다잖아 아 그 정도 조건에는 절대 못해요 그래? 그럼 그럼 너 이동네에서 우리 형 절대 못 돌아다니게 해줄게 아니 형 왜그래요? 어린애도 아니고 꺼져라 두고봐라 너
갈취 대화,1,어서오세요! 편의점입니다. 손들어! 헛튼짓하면 쏴서 죽인다!! 왜 하필 그러세요.? 원하는게 뭐에요.? 내 가방에 여기 있는돈 다 담아! 살려주세요.? 살고싶은면 돈 담아!! 그러면 살려줄게 안돼요. 저는 편의점 알바생일 뿐이에요. 그러니깐 빨리 담으라고!! 죽기 싫으면! 진짜 살려주실꺼죠.? 그래 빨리 담으면 사라져줄게
직장 내 괴롭힘 대화,2,"미스김 어제 좋은 일 있나봐 요즘 스타일이 날 죽이는데!? 그쵸 강과장님. 요즘 미스김 남친이 잘 해주나 봐여. 갈 수록 섹시해지네요. 네 이쁘게 봐주셔서 감사합니다.. 미스김 자꾸 이런 모습보이면 우리가 힘들자나 일을 못한다니까 그러게요. 근데 자꾸 보고만 싶어져서 일에 집중을 잘 안 할 수 없다니까요 과장님 자꾸 그런 말 하시면 듣기 불쾌합니다. 언행을 좀 자제해 주시면 좋겠습니다. 아, 그래? 미스김이 고과 평가자가 나인거 모르나 보지? 내가 이렇게 쫙 긁어버리면 미스김도 직장생활 어려울텐데. 그래도 되겠어? 그러길 원하면 맘대로 하던가. 아니요. 그런건 아닙니다. 전 그저. 그저 뭐 일은 못하고 외모 하나만 좋으면서 뭐가 그리 비싸게 굴고 난리야 이번 고과에서 두고 보자고. 아닙니다. 과장님 제가 말 실수를 했습니다. 죄송합니다."
기타 괴롭힘 대화,3,야 어이 이병이 길동이가 가서 단가 몇개갖고와라 잘못들었습니다? 아 씨바 단가 몇개 가지고오라고!! 단가가 뭔지 잘모르겠습니다 모르면 군생활 끝나나? 아닙니다 너 앞으로 찐따다 알았냐? 찐따로 관등성명을 대라 네 알겠습니다
기타 괴롭힘 대화,3,고객님 무슨일이십니까 비행기가 지금 너무 높이 떠 있어서 추운것같아요 담요를 가져다 드리겠습니다 아니요 저이렇게 추울때는 할머니가 늘 안아주셨어요.. 고객님 죄송합니다. 지금은 아직 할머니도 계시지 않고. 담요를 아니요. 승무원 누나 말이 그렇게 안통하시네요 네? 누나가 안아주면 되잖아요 죄송합니다 고객님 죄송하면 그냥 안아주면 되지요 왜 이렇게 이렇게 피곤하게 구세요??? 신체적인 접촉은 불가합니다. 지금은 고객을 남자로 보는거에요?? 제가 더 기분이 나쁘네요
갈취 대화,1,이봐 노인장. 30년 장사하면서 돈은 많이 불렸나? 허허. 왜부르시나? 다름이 아니라 슬슬 천당가실 때 됐는데 기왕가실때 좋은일 하나 하고 가라고. 뭐. 뭣이.? 내가 요즘 돈이 궁해서 말야.? 어디 꿍쳐둔 돈이 좀 없나? 아.? 아니. 없소. 하.? 내가 모를줄 알고? 난 여기 장사가 잘되잖아. 돈 많이 못 벌었을텐데? 이미 다. 자식들 다 물려줬소. 나는 빈털털이니께 썩어 가시게!! 그러지 말고. 내가 힘쓰기 전에 내놓아!! 으윽.
기타 괴롭힘 대화,3,너 니네 남편 조심해. 왜? 우리 남편 왜? 니 남편 너한테 잘해주는거 다 나중에 너한테 빌붙으려고 하는거야. 지금은 자기가 뭣도 하고 없으니까 너한테 잘해놔야 나중에 비빌데라도 있지. 우리 남편 그런 사람아니야. 야. 너네 부모님이 공무원이라 연금이 안 나오지. 너 지금 가게 대박나서 갑자기 돈 좀 벌지. 근데 니 남편은 가족도 자기도 가진게 아무랄 것도 없잖아. 그렇다고 직장이 번듯하니? 그래도 우리 니 남편 열심히 살아. 열심히 살아야지. 이혼을 안 당하려면. 그래서 너한테 잘해주는거야. 너 남편이 조금 잘해준다고만 해서 너무 좋아하지마. 어차피 니가 뒷통수 칠 사람이니까. 너 무슨소리야? 니가 아직 너무 착하고 순수해서 잘 모르나보다. 니네 남편 너한테 그렇게 잘해주다가 나중에는 니 돈 뜯어가고 딴 살림 차릴지도 모르니까 너무 좋아하지마. 그거 다 다 자기 먹고 살려고 그러는거야. 너 진심이니?
갈취 대화,1,수빈아 목걸이 예쁘다 웅. 어디서 사고 났어? 나도 갖고 보고 싶다 엄마가 사주셨어. 나한테 더 잘하면 안 어울릴 만한 것 같은데 해봐도 안 돼? 웅. 해보기만 하고 돌려줘 어머머 얘 나랑 너무 잘어울린다 이거 내가 가질래 무슨 소리야 안돼 절대 소중한거야 에이 친구끼리 줄 수도 있지 안그래? 나도 소중하게 잘 쓸게 진짜는 안돼. 왕따라도 당하고 싶지 않으면 순순히 내놔 휴 알겠어.
갈취 대화,1,이 사장님. 이거 오랜만입니다? 아. 자네 어쩐단 일인가. 어쩐 일이냐뇨 섭섭하네요. 아니 다름이 아니라 제가 부탁 좀 드리려구요. 어떤. 부탁인가. 제가 이번에 사업을 하나 시작했는데. 초기 자본이 영 딸리네요? 자본?. 그걸... 왜 나한테. 사장님.. 사장님이 이러시면 안되죠. 저번에 저희 애들이랑 룸에서 무슨 일 있었는지 사모님께서 다 알려드려요?. 그. 그건 그 때 너네가 만들어 낸 상황이였잖아!. 그래서 말씀드릴까요? 사장님?. 딱 1억만 더 부탁드립니다. 가족들 떠나는 거 보고싶지 않으시죠? 제발 그러지말게나. 내가 어떻게 든. 구해볼테니 제발 그 일만은.
갈취 대화,1,야 돈 내놔 오늘은 진짜 진짜 안돼. 뭘 안되긴 한데 진짜 안돼 진짜야 지난번처럼 맞고 싶냐? 진짜야 제발 오늘은 안돼 이 지갑 좀 털어봐 야 오만원밖에 없는데? 아이씨 이 거지새끼. 야 돈 더 없냐고 진짜 없어 그게 다야. 그럼 맞기 전에 꺼져. 야 야 야 내일은 두 배로 갖고 와라 응. 알겠어.
협박 대화,0,당장에 내 세금 안내면 이빨 뺀치로 뽑아버리겠어 아 몰라 몰라 몰라 귀찮아 당신 작년에도 안내고 올해도 안내서 가산금 붙었어 어쩔꺼야 지금 집에 왔는데 어쩌라고? 퀴찮아 나 인생에서 그딴거 낸 적 없다 나라에서 내라는 건데 귀찮아도 내야지 얻어맞고싶니? 지금 못내고 나 나중에라도 더 내면 될꺼아냐 나중에 언제 계좌번호 찍고 빨리 기한내 안내면 망치로 머리 때린다
협박 대화,0,오 깡패다. 니가 지금 뭐라했노 말하는것도 깡패네 닌 진짜 죽었다 시키야 어디서 건방지게 아파요 죄송해요 뭐 저런 눈치 없는 시키를 봤노 죄송해요 살려주세요 니가 말 잘했다 원래는 안죽이는데 이런데도 살라카니까 그냥 죽이고 난 감옥소로 갈라칸다. 진짜 진짜 죄송해요 너무 시끄러워
갈취 대화,1,"그 얼굴로 잘도 연기하고 있네. 누구세요? 나 너 고등학교 동창이다. 학폭한거 사장님이 누군지 아시니? 야 너, 너 누구야! 얼굴도 다 갈아엎었네. 미안해 내가 다들 잘못했어 원하는 거 다 해줄게. 그럼 나 1억 송금해. 나 그렇게 큰 큰 돈은 없어 사회에서 매장되고 싶어? 내가 마련해볼게."
갈취 대화,1,움직이지마! 누구세요? 보면몰라? 여기 가방에 다 털어 넣어 죽기 싫으면 이러지마세요 신고할거에요 신고하기전에 니가 먼저 죽을걸 제발요 다치기 싫어요! 다치기가 싫으면 여기에 금 다 털어! 요새 상황이 여의치 않아 이거 털리면 우리식구 다 길바닥에 내앉아져요 나는 여기 이미 앉았어. 얼른 털어 넣어 잔말말고 네.
협박 대화,0,야 일처리 똑바로 하랬지 어쩔 수 없었습니다 저번처럼 어금니가 하나 더 뽑혀봐야 정신차리려나? 그게 아닙니다 내가 니네 가족이고 친구고 다들 알고있어. 네. 특히 길동 아 제발 그사람만은 앞으로도 이딴식으로 일하면 니가 아니라 얘부터 잡아다가는 손가락 하나씩 부러뜨릴줄알아 정신차려라 네 알겠습니다
기타 괴롭힘 대화,3,너 도대체 왜 이러는거야!? 니가 나 안만나주니까. 근데 내가 너 싫다고 했잖아! 갑자기 왜 그러는건데. 아니 난 계속해서 너 싫다고 했어! 니가 혼자 착각하고 나만을 좋아하는 거잖아! 내가 착각했다고? 너는 맨날 나보고 인사해주고 웃어줬잖아. 그건 친구니까 그런거지. 그렇다고 맨날 나 퇴근시간에 이렇게 앞에서 기다리는 게 이게 무슨 말이나 된다고만 생각해? 이렇게라도 해야 니가 만나주니까 그렇지. 이게 내가 만나주는거라고? 그냥 마주치는 것 뿐이고 넌 지금 이거 스토킹이야. 너 알아? 스토킹? 너 진짜 미쳤구나? 어떻게 이게 진짜 스토킹이야? 그러니까 니가 안 만나주면 됐잖아!
갈취 대화,1,그 길동구 국회의원님 비서분 되시죠? 네 맞습니다. 무슨 무슨 용건으로 전화 주셨습니까? 네 이번에 대선 때 그 국회의원님 출마하시죠? 꽤 지지도도 높으시다고 들었는데요. 네 잘 알고 계십니다. 아직까지 대선 유력 당선 후보로 저희 의원님이 이름 올리시고 계십니다. 혹시 지지자 분 이십니까? 에이 설마요. 얼마전 비서분 안 계실 때 의원님 음주운전 하고 계시던데 아세요? 음주운전을요.? 루머 유포시 강력하게 처벌할겁니다. 그래도 괜찮으세요? 루머 아니니까 괜찮죠. 경찰한테도 전화 걸렸던데 뭐라고 돈 주니까 그냥 그냥 넘어가던데요? 물증이 있으신가요? 물증 없으시면 루머라 생각하고 계속해서 강경대응 하겠습니다. 지금 보내드리는 영상 봐보십시오. 거칠게 운전하는 장면이랑 돈 넘기는 장면까지 제가 다'찍어놨습니다. 헙. 혹시 어떻게 해드리면 그냥 그냥 넘어가주실 수 있을까요? 저희 의원님은 이제 마지막 대선 출마입니다. 한 번만 넘어가봐 주십시오. 네 사례는 원하는 만큼 다 해드리겠습니다. 역시 너도 돈으로 해결하려 그러네. 그럼 한 7000만원만 준비해. 네. 역사 안에 보관함에 다 넣어둘테니 알아서 다시 찾아가십시오. 아니 그 영상 퍼뜨리시면 안 돼요 진짜.
기타 괴롭힘 대화,3,야 너 그거뭐냐? 아 이거. 수족인데. 수족? 너 팔 없냐 놀리지마. 아 왜케 웃긴데 너가 이병헌이냐 마네킹같은거 끼우고 겁나 웃긴다 모히또 가서 몰디브랑 맥주 한잔이나 해 말이 너무 너무 너무 심하잖아 아 이거 왜 재밌잖아 이병헌 대사 따라해봐 싫어!
협박 대화,0,아저씨가 먼저 새치기를 했잖아요 아니 근데 젊은 것들이 나이든 사람이 그러면 왜 그런가보다 하지 그렇게 따지고 들어? 아니 그래도 양해를 구하는 것도 별거 아니고 무작정 그러시면 저희도 너무 기분 나쁘죠 뭐야?? 자기야 그냥 가자 말안통할것같아 가자 아니 자기야 놔봐 이런 사람들 늘 이러니까 누군가는 말해야한다니까 뭐? 이런사람? 자기야? 그게 우리가 그렇게 될 필요가 없잖아 말이 안통할것같아 가자 야 그래 그래 가자 야 니네 거기 서봐 아주 그냥 그냥뭐라고? 이것들이 사람을 가지고 놀아? 니네 죽고싶어? 됐어요 아저씨 우리는 갈테니 평생 그렇게만 사세요 아니 이것들이 진짜 뒤지고 싶나 쌍으로 저승길 한번 보내줘? 가자
갈취 대화,1,안녕하세요 병원장님 어 그래 약국은 잘 돼지? 네 덕분에요 응 그래그래 근데 다음주부터는 여기 약국에서 다른 사람이 다 들어오기러 온다고 했는데 어떡하지? 네???? 아니 나친한 그 친구 딸도 약사인데 목 좋은데서 하고 싶다고 사정사정하기길래 아니그래도 그렇죠. 당장 다음주부터는 나가라고 하시면 어떡합니까 그치? 그래서 너무 인정머리 없는 것만 같아서 내가 내려왔잖아? 네??? 그 친구 친구가 약국 인수하게 해주면 돈 좀 챙겨준다는데 나는 김약사가 그동안의 정을 생각해서 먼저 알려주라고 내려왔지친구가 준다는거 딱 반만 받겠네
협박 대화,0,디퓨져에 발암물질 나왔다는거 소비자에 알려야 해요. 너 미쳤어? 회사 망하기를 바래? 입 다물고 있어. 내가 알아서 해결할테니까 안된다고요. 지금도 이거 쓰고 있는 사람들 많을거 아닙니까. 빨리 알려서. 그럼 지금이라도 막아야해요. 그럼 니 집에는 갓난아들 하나 있지? 너보다도 누가 먼저 죽게 해줄까? 태어나자마자 아빠 소리도 못 듣게. 죽여줘? 어떻게 제 아기를 가지고 이렇게 협박을 하세요. 너무하신거 아닙니까? 사람 생명이 다 달려 있어요. 그사람들이 죽던 말던 이 디퓨저가지고 그런 일 일어났다고 아무도 생각 안해 해. 제발 일 좀 더 키우지 마. 아니요. 저 말할겁니다. 이건 진짜로 말 해야해요. 꼭 말할겁니다. 그래 말 해. 너도 지금 우리 망하게 하면. 그럼 너도 망할 준비해야지 남 등에 칼 꽂을거면 너도 꽂힐 각오 해야지. 그게 무슨소리세요. 나중에 일 터져서 입는다면 타격이 더 클거예요. 사전에 큰 나쁜 일 차단하자는 거잖아요. 그럼 너 멋대로 생각하고 행동해. 그에 따른 모든 책임은 너가 져야 할테니까. 힘들게 힘 가진 내 아이 이제 죽을 날만 남았네. 이걸 어째 자기가 지 아빠 때문에 죽게 되니 참 안타깝네.
기타 괴롭힘 대화,3,아 진짜 교실에서 썩은 냄새나지 않냐? 아 인정. 완전 너무 토할 것 같음. 야 네가 말하니까 네 내 남친이 우리 쳐다보는데? 뭔 내 남친이야 네 남친이지? 응? 이제 수업 시작함. 넌 네 이 자리에서 남친 짝꿍님이랑 잘 해보세요 아 짜증나!!! 이쪽으로 쳐다보지 말라고! 미안해. 미안하면 둘 다냐? 아 진짜 짝꿍 언제 바뀌냐. 오 둘이랑 완전 잘 어울리는데 아 존나 짜증나니까 작작 놀려!
갈취 대화,1,야 너 돈 좀 있냐? 나? 너 나 없는데 뭐래 돈 있잖아 좀 줘바 아니 진짜 없다니까 어? 진짜 없네 너 집 못사는구나 거지냐? 후. 아니야 너네 아버지는 뭐하시냐? 없냐? 아니야. 계셔. 그런말 하지마. 와. 내 주변에 이런 그지 가 있었네 그러지마
협박 대화,0,너 뭐하냐? 너 미쳤냐? 정신 똑바로 안차려? 죄송합니다. 대가리에서 쳐 들고있는게 뭐 없으니까 그러는거 아니야? 정상적인 사고가 안돼? 너 문제있어? 아닙니다. 죄송합니다. 내가 저번에 또 이지랄나면 너? 진짜 죽여줘? 죄송합니다. 너 또 이런거보면 귓구멍이 쳐 막혀있나보지? 내가 왜 전동드릴 가져와서 쑤셔박아줘? 너 아닙니다. 애새끼가 애미애비한테 어떻게 쳐 배웠길래 이래? 너 부모 뒤졌어? 아닙니다. 안뒤졌어? 처신 잘해. 또 또 이지랄하면 내가 죽여버릴거니까. 잘 알겠습니다. 다음부턴 안그러겠습니다. 죄송합니다.
갈취 대화,1,아니 저기요 혹시 게임을 레벨업 해준다고 하신거 언제 돌려 주실건가요? 아직도 레벨업 하고 있어요. 조금만 기다리세요. 근데 혹시 저 게임계정 비밀번호는 왜 몰라서 변경하신건가요? 레벨업 하는데 회원정보 수정은 필요 없지 않아요? 저도 그럼 뭐 돈을 받아야 드리죠. 근데 혹시 몰라서 변경 해둔겁니다. 제가 지금 선 입금 했는데 무슨 소리세요. 그럼 5만원만 주면 제일 높을데 레벨까지 해주신다고 하셨잖아요. 그건 그때고 마음이 달라졌어요. 제가 그럼 내일 오전 중으로 레벨을 업 해서 드릴테니 10만원만 더 입금하세요. 그게 뭔 말이에요. 약속은 약속이죠 제가 님께 부탁한 이유가 뭔데요. 가격이 싸서 부탁드린겁니다. 처음 돈에서 더 드릴 마음 없으니 바로 계정 넘겨주세요. 그럼 그렇게는 안 해도 되죠. 제가 레벨업 시켜놓은 이상한 게 있는데. 그러면 그냥 이 계정 폭파시킬게요 동의 하시는 거죠? 제가 거의 60까지는 레벨업을 시키고 100까지 시켜주시는거잖아요. 60까지는 제가 레벨업 시킨건데 함부로 폭파시키면 안되죠. 그럼 뭐를 어떻게 할건데요 10만원 더 더 주실거예요 어떡할거에요. 질질 끌지 마세요. 하. 그럼 10만원만 더 입금 해드릴테니까. 진짜 빨리 레벨업 시켜주셔야 해요. 그리고 이거 사기인거 아시나요.
직장 내 괴롭힘 대화,2,야 박과장! 나하고 따로 이야기 좀 하지. 저는 부장님과 따로 나눌 이야기는 없습니다만. 어쭈 이 자식이 과장달았다고 눈에 뵈는게 없나 너 죽고싶어? 한번 해보시죠. 근데 하실 이야기 할 수는 있으신가요? 이게 보자 보자 하니까 막 가는데. 어차피 한번뿐인 인생인데요 뭘 그렇게 사세요? 이 자식이 산 입이라고 주둥이를 마구 놀리는데 야! 내가 너 쥐도 새도 모르게 묻어버릴 수 있어. 아 ~ 그러세요. 무서워 죽겠습니다. 비웃어? 비웃어? 이야 세상 말세네. 더 하실 이야기 없으면 이만 하고 들어가 보겠습니다. 근데 지금은 네가 한이사 빽믿고 그러는 모양인데 언제까지 가나 보자. 낼 메일 확인이나 잘 해.
기타 괴롭힘 대화,3,야 옆반에 걔 봤냐? 어제 전학을 온애?? 어 어제 걸어 다니면서 맨날 자기 얼굴 툭툭 튀는것처럼 손 흔들던데? 그니까 그거 겁나 웃기지않냐? 뒤에서 보고있으면 겁나 웃겨 다음에 옆에서 놀래켜봐 그럼 반응도 안 나고 겁나 존나 웃겨 어 다음에 해봐야겠다 그리고 뭔가? 옆에가면 냄새도 좀 나는거 같지않냐? 냄새? 그건 잘 모르겠던데. 그래서 걔네반 애들도 잘 안다가가는거잖아 아 그런거였어?
갈취 대화,1,오늘 의원님 드릴 말씀 드릴 말씀이 좀 있어서 찾아 왔는데요. 자네 내가 함부로 찾아오지 말라고 안 했나? 의원님이 저한테 성내실 만한 입장이 아닐 걸 텐데요. 자네 저번에 합의금 줬잖아! 또 뭐가 더 필요한가! 하하. 대선도 노리신다는 분이 통이 너무 작으십니다. 저번에 주신 돈은 경마장에서 다 썼지요. 자네한테 줄 돈은 없네. 어서 돌아가게. 의원님 아드님께서 보통 말썽꾸러기가 아니던데요. 크흠. 잘 알아듣게 말하게. 아드님께서 만취하고 한 여학생을 성폭행한 영상을 입수했습니다. 뭐? 거짓말이지? 부정하고 싶으시겠죠. 운 좋게 이 영상이 바로 바로 제 손으로 들어왔네요. 원본은 오직 이것뿐이니 의원님께는 다행이라면 다행이네요.. 원하는 게 뭔가? 3억. 승낙하지 않으신다면 바로 유포하겠습니다. 이게 세상에 알려지면 아드님은 그야 물론이고 의원님 인생길도 어쩌면 꽤나 재밌어지겠네요. 허 일단 영상 확인부터 함세. 돈은 바로 보내겠네.
협박 대화,0,아놔 이 새끼 맘에 안드네 얘는 진짜 칼로 찔려봐야 정신을 차릴거같은데? 아 아니 미안하다고 진짜 진짜 맘에 안드네 아 주변에서 칼 없냐? 아 잠만 자고 말로 해 아니 일단 넌 그냥 맞아 일로와 이빨 부러질 준비를 해라 미안해. 아니 넌 그냥 죽어
기타 괴롭힘 대화,3,야! 응?? 나?? 그래 너! 으 냄새나 냄새? 무슨 냄새? 무슨 냄새긴! 쓰레기 봉투 냄새지. 뭐.? 너 안씻고 다니니.? 아니 나 씻고왔는데.?? 으 냄새나 저리가! 애들아 얘 냄새 나니깐. 가까이 가지마 왜그래. 진짜.???
협박 대화,0,왜 죽고싶냐? 아뇨 살고싶습니다 근데 왜 약속을 안지켜 죄송합니다. 죄송할 짓을 왜 하지마! 제발 네. 노력하겠습니다 노력말고 성과를 가져오라고 네. 그렇게 하도록. 이번에도 못하면 알지 진짜 마지막이야 이 세상에서 못 살줄 알아 네. 꼭 해오겠습니다.
